"A";"220";
"bb";"233";
"b";"247";
"C1";"262";
"D1b";"277";
"D1";"294";
"E1b";"311";
"E1";"330";
"F1";"349";
"G1b";"370";
"G1";"392";
"A1b";"416";
"A1";"440";
"B1b";"466";
"B1";"494";
"C2";"523";
"D2b";"554";
"D2";"587";
"E2b";"622";
"E2";"659";
"F2";"698";
"G2b";"740";
"G2";"784";
"A2b";"831";
"A2";"880";
"B2b";"932";
"B2";"988";
"C3";"1047";
"D3b";"1109";
"D3";"1175";
"E3b";"1245";
"E3";"1319";
"F3";"1397";
"G3b";"1480";
"G3";"1568";
"A3b";"1661";
"A3";"1760";
"B3b";"1865";
"B3";"1976";
"C4";"2093";
"D4b";"2217";
"D4";"2349";
"E4b";"2489";
"E4";"2637";
"F4";"2794";
"G4b";"2960";
"G4";"3136";
"A4b";"3322";
"A4";"3520";
"B4b";"3729";
"B4";"3951";
"C5";"4186";
"D5b";"4434";
"D5";"4698";
"E5b";"4978";
"E5";"5274";
"F5";"5588";
"G5b";"5920";
"G5";"6272";
"A5b";"6644";
"A5";"7040";
"B5b";"7458";
"B5";"7902";
"C6";"8372";
"D6b";"8870";
"D6";"9396";
"E6b";"9956";
"E6";"10548";
"F6";"11176";
"G6b";"11840";
"G6";"12544";
"A6b";"13288";
